Treatment Effect,Lower Treatment Effect,Upper Treatment Effect
-0.18264435305708612,-0.24738923869073254,-0.11789946742343994
-0.19533518758305024,-0.23672485293708828,-0.1539455222290122
-0.15733949951933218,-0.2127790042488587,-0.10189999478980569
-0.14568811801072495,-0.2940386543758126,0.002662418354362789
-0.178553593141744,-0.2682913865707901,-0.08881579971269787
-0.13191142354185736,-0.20874185420953445,-0.05508099287418029
0.0488512031660311,-0.21870867528152665,0.3164110816135888
-0.1810787687909411,-0.2819932371426466,-0.08016430043923554
-0.18582101624432884,-0.2265018559061781,-0.14514017658247952
-0.1604788964400673,-0.33632370541778134,0.015365912537646714
-0.17906753840893494,-0.301226688720563,-0.05690838809730697
-0.11607674458137159,-0.18401376306638734,-0.04813972609635592
-0.19250948388659492,-0.371900723181138,-0.013118244592052075
-0.17383583807134223,-0.2423262415696105,-0.10534543457307403
-0.17707184867563358,-0.22669871070979766,-0.12744498664146958
-0.162460853564899,-0.24151940304410127,-0.08340230408569671
-0.1714349991151655,-0.2719112350761754,-0.07095876315415564
-0.16498457271287162,-0.206070930886644,-0.12389821453909927
-0.16620336711567277,-0.21942293214930764,-0.1129838020820379
-0.1531632308977236,-0.24042605736442035,-0.06590040443102686
-0.11270183215381592,-0.22416957398492698,-0.0012340903227049393
-0.14140949634219963,-0.20141760076207949,-0.0814013919223198
-0.13065506117802922,-0.24514845471407337,-0.01616166764198511
-0.20246629031337657,-0.2673081899113886,-0.13762439071536453
-0.20101857393073908,-0.35490038384956984,-0.04713676401190822
-0.18745584350379013,-0.23980914332556927,-0.13510254368201086
-0.14893856933260363,-0.24093236019835615,-0.05694477846685124
-0.15647139482212213,-0.24728990442431187,-0.0656528852199325
-0.17921448356702585,-0.24909678114322828,-0.10933218599082334
-0.15556358264836784,-0.24215418278559647,-0.06897298251113916
-0.18914392457071044,-0.23189390721265618,-0.1463939419287647
-0.17723728588625304,-0.24498104459290487,-0.1094935271796012
-0.18627368061356936,-0.33691219654770344,-0.035635164679435366
-0.1767990857404664,-0.26247085613303756,-0.09112731534789535
-0.16167721882671582,-0.22261939589087335,-0.10073504176255829
-0.1169476425624524,-0.2974958386184514,0.06360055349354662
-0.15870504231755114,-0.32359399729608174,0.006183912660979729
-0.1594712321859799,-0.2069365456073101,-0.11200591876464963
-0.1884369848127777,-0.2813282424713136,-0.09554572715424178
-0.2063807477263004,-0.275345876476646,-0.1374156189759546
-0.1887130150675968,-0.2904470185082223,-0.08697901162697119
-0.1367979519335621,-0.23025069650197558,-0.04334520736514863
-0.19885586558436683,-0.24712952934815963,-0.15058220182057414
-0.14969588611676657,-0.21235652557471846,-0.08703524665881482
-0.19982942329060632,-0.2305245911413469,-0.16913425543986585
-0.10721049490616916,-0.3572619467836396,0.14284095697130128
-0.19723332489714618,-0.23473109512082221,-0.15973555467347014
-0.1714240957747573,-0.23967813412737826,-0.10317005742213636
-0.1568693202205646,-0.25144961491324713,-0.0622890255278819
-0.17111049464353628,-0.23465070490080614,-0.10757028438626656
-0.18220350053886375,-0.22445119463815064,-0.13995580643957678
-0.20019490312303817,-0.26673041333434805,-0.13365939291172832
-0.17498132224372948,-0.2123895572046977,-0.13757308728276113
-0.184356516320275,-0.2606111009459123,-0.10810193169463761
-0.16929945479723654,-0.24471939325199893,-0.09387951634247427
-0.18622614078939922,-0.3148560000416181,-0.05759628153718041
-0.17697627855937978,-0.2323491394831424,-0.12160341763561716
-0.19570878950893178,-0.23236086553977556,-0.159056713478088
-0.15477683931530564,-0.220335739389161,-0.08921793924145018
-0.19338227188422377,-0.23924033203347822,-0.1475242117349692
-0.10857262201421235,-0.20307932641037407,-0.014065917618050636
-0.21086800690835147,-0.3414174536267922,-0.08031856018991096
-0.20136982144147533,-0.2984624576488013,-0.1042771852341495
-0.1446865875361102,-0.222993304320135,-0.0663798707520854
-0.20022009547244995,-0.2881792924965972,-0.11226089844830256
-0.11900325725418825,-0.3494642320794506,0.1114577175710741
-0.12977133720629824,-0.2270187387832882,-0.03252393562930832
-0.16302880895073119,-0.28149939229338455,-0.04455822560807786
-0.15748836653183032,-0.44213610104931234,0.12715936798565178
-0.17660569371657728,-0.24484361530174092,-0.10836777213141366
-0.07885344945320008,-0.25024193653737514,0.092535037630975
-0.03781266362002006,-0.32053709462341995,0.24491176738337964
-0.14313496691620173,-0.2388088703652239,-0.0474610634671795
-0.20108130577107983,-0.2343534488018875,-0.16780916274027216
-0.1977392852234696,-0.2685810774932397,-0.12689749295369968
-0.168272148808995,-0.2839245519729303,-0.05261974564505979
-0.21234622058770344,-0.26263916667644366,-0.16205327449896317
-0.14433704957931628,-0.2084707488837605,-0.08020335027487202
-0.20193334631191906,-0.2979269883590269,-0.1059397042648111
-0.1872525220313596,-0.22804129932247477,-0.14646374474024446
-0.1768116299449282,-0.21816784829220415,-0.13545541159765223
-0.19260632541519793,-0.2318653010596925,-0.1533473497707033
-0.17562521328054836,-0.27487501463704317,-0.07637541192405366
-0.15440797641721113,-0.2572964466795492,-0.05151950615487316
-0.18791451495704029,-0.23763660337206438,-0.13819242654201602
-0.11078231885675092,-0.22324036567271843,0.0016757279592165414
-0.18629948693742532,-0.2545384080175495,-0.11806056585730113
-0.21247365068672283,-0.2791182598473554,-0.14582904152609028
-0.1775892878712945,-0.22374981828129942,-0.13142875746128974
-0.2010552760517512,-0.23198104012330564,-0.17012951198019655
-0.19013756160114748,-0.2839244437550618,-0.09635067944723315
-0.16752646532688734,-0.21753269898196834,-0.1175202316718064
-0.14456835479125976,-0.19188932533484304,-0.09724738424767651
-0.18126690851690277,-0.23276947311690033,-0.12976434391690533
-0.1769590520321833,-0.23701771050494377,-0.11690039355942282
-0.20001782637851823,-0.2582525602051728,-0.14178309255186367
-0.18646968412059906,-0.2305263416109231,-0.142413026630275
-0.13930055205030256,-0.20077347909577026,-0.07782762500483482
-0.12762260100608175,-0.23705897614770055,-0.018186225864462988
-0.17564390375769504,-0.2256798092653823,-0.1256079982500079
-0.1759719301403535,-0.25271573415170606,-0.09922812612900092
-0.20407789388411116,-0.24348093855651842,-0.16467484921170394
-0.17406791139182357,-0.2132299274378527,-0.13490589534579445
-0.17392503827332467,-0.23075720376266443,-0.11709287278398484
-0.1745743130946455,-0.2390672015352628,-0.11008142465402813
-0.1815257237453944,-0.24938965506901717,-0.11366179242177173
-0.1951054780498908,-0.2406538847357707,-0.14955707136401086
-0.15622608806625293,-0.2201025608929688,-0.09234961523953712
-0.2032168384225732,-0.2752734210629181,-0.1311602557822284
-0.2303917009817532,-0.30640347297727144,-0.15437992898623498
-0.11329792404253373,-0.2356664416768225,0.00907059359175498
-0.11370980135579555,-0.22694525909782676,-0.0004743436137643886
-0.1900769379445899,-0.2410965833372513,-0.13905729255192847
-0.17080069236049958,-0.25681396440584453,-0.08478742031515465
-0.15739912325241456,-0.19797704204316108,-0.11682120446166784
-0.15703057106907328,-0.20560109421900996,-0.10846004791913655
-0.21355394188478868,-0.27072812887695874,-0.15637975489261852
-0.1753493435532737,-0.29276730410877816,-0.05793138299776929
-0.15387057720095387,-0.3252403293172903,0.017499174915382526
-0.17150918551955358,-0.2170150236011348,-0.1260033474379725
-0.21761388086168543,-0.27126199028063774,-0.16396577144273314
-0.17714229226540315,-0.24982186952405305,-0.10446271500675328
-0.13520104198973112,-0.198255298107999,-0.07214678587146328
-0.17027748569545392,-0.2509153327939393,-0.08963963859696857
-0.18932662239888795,-0.2523054606040704,-0.1263477841937055
-0.18974089084682588,-0.23484875909564085,-0.144633022598011
-0.1399327654456332,-0.2812824606807554,0.0014169297894887911
-0.19715553195570307,-0.23676858383731875,-0.15754248007408742
0.025554106949413888,-0.19424005529511068,0.2453482691939384
