Feature,Importance
sat,0.0716955938961237
edu_help,0.06767835863928713
study_1,0.05181772283971414
work,0.04547099987958729
kind,0.042484857375276935
work_f,0.025006206193421435
edu_f,0.024691266405800973
can_2,0.024581486626151724
can_7,0.023214695008750338
d_group,0.021111930243133504
can_10,0.019577339776716652
work_m,0.016688658423078675
help_3,0.015912906780677714
edu_m,0.01580118545419511
gain_17,0.015739198653277147
gain_11,0.015112238791994059
value_1,0.014582913857738442
value_4,0.014421466083912218
help_2,0.014140880908630866
gain_19,0.013746596511870157
order,0.012767110131811421
gain_22,0.012628607129155835
can_9,0.01234973076756019
help_8,0.012328230599194705
can_14,0.011773987081916794
act_3,0.011528472782448807
can_12,0.011371830193331444
help_6,0.010898379690785845
obj_5,0.010507242024707271
gain_25,0.010416411283113014
can_3,0.010364189753982163
can_11,0.010226584253255016
help_9,0.010022618466515407
gain_24,0.00973892782796441
obj_3,0.009718370040488871
act_5,0.009537311924994012
help_1,0.009252481085097663
can_6,0.008727729228413523
act_8,0.008669685604685224
gain_14,0.008588284104493997
act_1,0.008248166226440205
gain_12,0.008208043462984206
same,0.008142847560257085
can_16,0.00800945570442405
can_5,0.00796526709049849
can_1,0.007959687980661203
can_13,0.007639115661340401
dorm,0.0074791178177580344
obj_1,0.007368732549464491
help_7,0.007218780665246743
sex,0.006943603258786904
can_8,0.0069097817847745165
gain_23,0.006737802274478717
gain_15,0.006691292362300648
help_4,0.006553293565110375
can_4,0.006539283011094486
value_3,0.006386860088519189
obj_2,0.006361264211971728
exp,0.005990922104105429
gain_2,0.005983005711438434
obj_4,0.0056876051742711774
gain_16,0.005145083249443131
gain_9,0.005040600273542156
act_7,0.004481563695887114
gain_21,0.004434226745237929
gain_20,0.004168600618869778
gain_13,0.004153289569003069
study_6,0.00413668351972162
gain_26,0.004061669627106378
gain_18,0.00401642372686091
act_6,0.003768672246899706
gain_4,0.0037606808441151434
gain_10,0.003698496364664649
obj_6,0.003636831151975439
help_5,0.0034205654536474794
value_2,0.0032032294615842705
gain_8,0.0030357256143967257
act_4,0.0029632702222182968
gain_5,0.002946775170746664
can_15,0.0029154872746637904
gain_7,0.002909076242892133
gain_1,0.002734554659380729
gain_6,0.002542574199699792
study_3,0.001793722961631997
obj_7,0.0015659070349722535
act_2,0.001356300388859574
gain_3,0.00019337509279894298
st_sta,0.0
