sex,st_sta,d_group,type,edu_f,edu_m,work_f,work_m,study_1,study_3,study_6,exp,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,dorm,order,obj_1,obj_2,obj_3,obj_4,obj_5,obj_6,obj_7,can_1,can_2,can_3,can_4,can_5,can_6,can_7,can_8,can_9,can_10,can_11,can_12,can_13,can_14,can_15,can_16,gain_1,gain_2,gain_3,gain_4,gain_5,gain_6,gain_7,gain_8,gain_9,gain_10,gain_11,gain_12,gain_13,gain_14,gain_15,gain_16,gain_17,gain_18,gain_19,gain_20,gain_21,gain_22,gain_23,gain_24,gain_25,gain_26,value_1,value_2,value_3,value_4,work,kind,income,same,edu_help,sat,help_1,help_2,help_3,help_4,help_5,help_6,help_7,help_8,help_9
1,1,42,3,5,5,1,1,42,1,1,1,4,3,1,1,1,1,1,1,5,3,3,3,3,2,4,4,4,4,4,3,3,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,3,3,3,1,7,3,3,3,3,3,3,2,3,3,3,3,3,2
1,1,54,4,5,3,1,1,46,1,1,2,1,1,1,1,1,1,1,1,1,2,4,2,3,2,3,2,3,3,4,3,3,3,4,4,3,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,2,3,3,3,2,1,7,3,3,3,2,3,2,1,1,3,3,3,3,1
1,1,46,4,5,3,1,1,46,1,1,2,3,3,1,1,1,1,1,1,1,2,4,4,2,3,4,3,3,3,4,3,2,4,3,3,3,3,3,4,4,4,3,3,3,4,4,2,2,2,3,3,2,3,4,3,3,4,3,3,3,4,2,2,4,2,1,2,2,2,1,3,4,3,3,1,7,4,2,2,3,3,3,3,1,2,4,4,4,2
1,1,54,1,6,3,1,1,54,1,1,1,3,4,1,1,1,1,1,1,3,4,3,4,4,1,4,2,3,1,4,3,3,3,3,3,2,2,4,5,4,5,2,4,4,2,3,1,2,2,1,3,2,2,3,1,2,3,3,1,2,3,2,1,2,1,1,3,3,3,2,2,3,2,3,2,7,3,2,2,2,2,2,4,1,2,3,2,3,4
1,1,46,4,4,4,1,1,34,1,1,2,4,1,1,1,1,4,1,4,3,2,3,3,3,3,3,2,3,3,4,4,3,2,3,4,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,2,1,7,4,3,3,3,3,3,2,3,2,4,3,3,3
1,1,54,4,5,5,1,1,54,1,1,2,3,1,1,1,1,1,1,1,3,2,4,4,4,4,4,4,4,3,3,4,4,3,3,3,2,1,1,2,5,5,5,5,5,3,4,2,1,2,1,3,3,4,4,3,3,3,3,4,1,4,2,1,2,2,3,2,3,3,1,3,3,2,2,1,7,4,3,3,2,4,4,4,3,3,4,4,4,3
1,1,54,4,5,3,1,1,54,1,1,2,2,2,1,1,1,1,1,1,1,2,4,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,1,7,4,3,3,4,4,2,3,2,2,3,3,3,3
1,1,54,2,5,5,1,1,54,1,1,2,1,4,2,1,1,1,4,4,5,2,1,4,2,3,3,2,4,4,4,3,4,4,4,3,4,3,3,4,4,4,2,4,4,3,3,2,2,2,2,3,2,2,1,1,1,1,2,1,1,1,2,3,3,1,1,1,1,1,1,3,1,2,2,3,9,1,1,2,3,3,2,2,2,2,4,4,4,4
1,1,30,3,5,5,1,1,34,1,1,1,2,1,1,3,2,1,2,1,1,2,4,4,2,1,1,3,4,5,2,4,5,5,4,4,5,3,3,3,5,5,5,4,5,3,1,1,1,1,2,3,1,1,3,1,1,1,1,1,2,1,3,1,2,3,3,2,1,1,1,4,3,3,2,2,9,1,1,1,2,4,4,3,1,3,4,3,3,4
1,1,34,3,1,4,1,1,34,1,2,2,4,2,1,1,2,1,1,2,1,3,3,3,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,2,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,3,4,4,2,2,2,4,3,4,4,4,4,3,3,3,3,1,9,2,2,2,3,3,3,4,2,4,3,3,3,4
1,1,54,4,4,4,1,1,52,1,1,2,1,1,3,1,1,1,1,2,1,4,1,1,3,1,4,3,3,1,3,4,1,2,3,3,3,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,2,1,2,2,2,2,1,2,1,1,2,3,3,2,2,9,2,2,2,3,2,3,4,2,3,4,3,3,3
1,1,54,4,4,4,1,1,54,1,1,2,1,2,2,1,1,1,1,1,9,4,4,3,4,3,3,4,4,4,3,4,3,4,3,3,4,3,3,3,5,4,4,4,5,4,4,2,3,4,4,4,4,4,3,4,4,4,3,2,4,3,3,3,4,4,4,3,4,3,4,3,4,4,4,1,9,4,3,4,3,3,2,2,2,2,3,3,3,4
1,1,46,3,6,5,1,1,46,1,1,2,3,2,1,1,2,1,2,1,3,4,4,4,4,1,1,4,4,3,5,5,1,3,5,5,5,5,5,3,5,5,5,4,5,2,2,1,2,3,3,3,1,1,3,2,1,2,2,1,2,3,2,1,3,2,1,1,1,1,1,3,3,2,2,2,10,9,3,2,3,3,3,3,4,3,3,3,3,3
1,1,22,2,1,2,1,2,22,1,2,2,2,3,3,1,1,1,1,4,1,2,3,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,3,5,2,3,2,3,3,3,2,2,3,3,2,2,2,1,1,1,3,1,1,2,2,1,4,4,2,1,3,3,2,1,1,1,7,2,3,2,3,2,4,1,3,4,4,4,4
1,1,34,3,5,3,1,2,34,1,1,1,2,3,1,1,3,1,1,1,3,1,2,1,2,2,4,3,3,1,1,4,3,2,4,4,4,3,4,2,4,3,3,5,4,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,3,2,1,1,1,1,1,2,1,1,2,1,3,3,1,1,11,4,2,2,4,2,2,1,2,1,3,1,1,1
1,1,34,4,5,5,1,3,18,1,1,2,1,1,1,1,1,1,1,1,1,2,4,4,4,4,3,4,4,5,4,4,4,3,3,4,5,4,3,4,4,4,4,3,4,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,5,3,2,3,2,1,1,1,1,2,1,1,4
1,1,22,3,4,3,1,3,22,1,1,2,1,4,3,1,1,1,1,1,5,2,3,3,3,1,3,2,4,3,3,4,3,3,4,4,4,3,3,3,4,4,3,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,2,3,2,2,3,2,2,2,3,2,2,4,4,2
1,1,50,3,3,5,1,3,50,1,1,1,3,4,4,2,1,1,1,3,3,2,4,4,2,3,4,4,4,3,1,4,3,4,5,4,5,4,4,2,4,3,5,5,4,2,3,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,1,2,3,2,2,1,3,9,3,4,4,4,2,1,2,2,3,4,4,1
1,1,46,3,4,5,1,3,46,1,1,1,2,4,1,2,3,1,1,1,4,2,3,2,2,1,4,2,4,4,4,3,1,3,1,3,4,3,3,2,3,1,4,3,4,2,3,2,3,1,2,3,3,3,4,2,2,3,3,2,1,3,2,2,2,1,2,3,2,2,1,2,2,1,1,2,5,1,2,2,2,3,2,2,3,2,3,3,3,2
1,1,34,3,4,4,1,3,18,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,4,4,4,5,3,3,3,4,2,5,2,3,2,4,5,5,5,5,1,2,1,1,4,1,1,1,4,4,1,2,2,1,1,2,1,4,1,2,3,3,1,2,1,1,1,3,1,1,2,7,2,3,3,2,3,1,2,1,1,4,1,3,3
1,1,46,3,5,5,1,3,46,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,4,4,3,4,4,3,4,3,3,3,2,2,4,3,3,4,4,4,4,3,4,2,2,1,1,1,1,2,2,2,2,1,3,3,3,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,7,5,3,2,3,2,1,1,1,3,2,1,3,3
1,1,54,1,5,4,1,3,54,1,1,1,1,1,1,1,1,4,1,1,9,1,4,4,2,2,4,3,4,3,5,3,4,2,2,3,3,1,3,3,3,3,4,4,4,3,3,1,1,1,1,2,1,1,2,3,1,3,2,1,1,2,1,1,3,1,1,1,1,1,1,3,3,2,1,1,7,5,2,2,2,4,3,4,1,2,3,4,4,2
1,1,46,3,5,4,1,3,46,1,1,2,1,1,1,1,1,1,1,1,1,2,3,3,3,1,4,3,3,2,4,2,1,1,2,2,2,3,3,3,4,3,3,3,3,3,3,1,2,2,2,3,3,3,4,4,4,4,4,4,2,4,2,1,2,2,2,4,4,4,3,3,3,3,3,1,7,4,3,3,2,3,3,3,1,2,3,3,3,2
1,1,54,1,6,5,1,3,54,1,1,2,1,3,1,1,4,1,4,2,9,1,4,4,4,4,4,4,4,5,4,3,3,3,3,3,3,3,3,4,4,2,5,4,3,2,4,1,1,1,2,3,3,2,3,2,2,2,2,3,3,2,3,2,3,3,2,1,2,2,1,4,4,3,2,1,7,5,3,3,3,4,3,3,2,2,3,1,1,2
1,1,54,4,4,4,1,3,46,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,2,1,3,2,3,2,3,1,3,3,2,2,2,1,1,3,3,4,4,3,3,2,3,2,2,2,1,2,2,2,3,3,2,3,2,2,1,3,2,3,2,1,1,1,2,2,1,2,3,3,2,1,7,3,3,3,3,3,2,4,1,3,4,3,3,3
1,1,54,3,5,4,1,3,52,1,1,2,4,3,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,5,4,4,3,3,3,4,5,3,3,4,4,5,5,5,4,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,3,3,3,1,7,4,3,3,3,4,3,3,3,3,3,1,2,3
1,1,54,3,5,5,1,3,54,1,1,2,2,2,2,4,2,2,3,2,1,4,4,4,2,2,4,2,4,4,3,4,3,4,4,5,5,2,2,5,4,4,5,5,5,4,4,1,2,3,2,1,1,1,4,2,2,3,1,3,2,4,4,1,2,1,1,1,1,1,1,3,3,3,3,1,7,4,2,2,3,3,1,3,2,1,2,2,2,1
1,1,54,4,4,4,1,3,54,1,2,2,3,3,3,3,3,3,3,3,1,1,4,3,2,2,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,5,4,4,3,3,3,3,3,3,2,4,3,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,4,4,3,3,1,9,3,3,4,3,4,4,4,3,4,4,4,3,3
1,1,22,4,2,2,1,4,34,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,3,3,3,3,3,2,3,4,3,4,4,4,4,3,3,4,4,4,3,3,4,2,2,2,2,1,3,1,1,1,1,1,1,1,3,1,2,1,1,1,1,3,3,1,1,1,1,3,3,2,2,1,2,4,2,2,2,2,1,1,1,1,4,4,3,2
1,1,62,1,5,4,1,4,50,1,1,2,1,4,3,1,2,1,1,4,9,4,4,4,4,2,4,2,4,4,2,3,3,4,3,3,4,3,3,4,4,4,4,3,4,3,3,1,3,1,2,2,2,3,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,4,1,3,3,3,2,1,3,4,3,4,2,4,2,3,1,1,2,4,4,4
1,1,30,3,6,5,1,4,30,1,1,2,1,1,1,1,1,1,1,1,9,3,4,4,3,4,4,4,4,3,4,4,3,5,3,4,3,2,2,3,4,4,4,4,5,3,4,2,2,3,2,2,4,4,4,4,4,4,4,2,4,4,4,2,3,4,4,4,4,4,4,4,4,3,3,1,7,4,3,4,2,4,3,4,3,2,3,4,4,2
1,1,46,2,2,2,1,4,54,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,2,3,2,1,2,1,4,3,3,2,3,3,3,2,3,4,4,4,2,4,3,4,4,1,2,2,2,3,2,2,4,1,1,1,1,1,3,2,1,1,1,2,2,1,3,2,2,3,4,4,4,1,7,4,3,2,3,3,3,3,1,1,3,1,1,3
1,1,62,1,5,5,1,4,62,1,1,1,4,3,1,1,1,2,1,1,1,2,3,2,2,2,4,3,4,3,3,4,3,3,4,5,4,4,4,5,5,4,4,5,5,3,3,1,3,4,3,3,3,4,4,4,4,4,4,4,2,3,2,2,2,4,3,4,4,4,2,4,3,3,3,1,9,4,3,4,3,3,3,4,1,4,3,3,3,3
1,1,54,4,4,2,1,4,54,1,1,2,1,1,1,1,1,1,1,1,5,2,4,3,4,4,4,3,4,3,2,5,3,3,5,5,3,1,1,3,3,3,3,4,5,3,4,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,2,1,3,4,2,2,3,2,3,4,3,4,2,2,11,3,1,2,2,3,4,4,2,2,4,4,4,4
1,1,34,4,2,1,1,4,34,1,1,2,3,2,1,1,1,1,1,1,1,4,3,2,3,2,4,3,3,3,3,3,2,4,4,4,4,3,3,4,3,3,3,4,3,2,3,2,2,3,3,3,2,3,3,2,2,3,2,2,1,3,3,1,1,3,2,2,2,3,2,2,3,2,2,1,12,5,1,1,1,3,2,3,3,3,4,4,3,3
1,2,34,1,5,5,1,5,34,1,1,1,1,3,1,1,1,1,1,1,1,4,3,3,3,2,4,3,3,2,4,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,2,2,3,3,3,2,2,2,2,3,2,2,2,2,3,4,4,4,4,1,1,5,3,3,3,4,3,4,3,3,4,3,4,3
1,1,22,3,5,3,1,5,14,1,1,2,3,4,1,2,1,1,1,3,3,3,4,4,4,4,3,3,4,3,3,4,4,5,5,4,4,5,5,3,3,3,4,4,5,3,4,4,4,4,4,2,2,4,4,2,3,3,4,3,4,4,3,4,3,4,4,4,4,4,3,3,3,2,1,1,5,7,3,2,2,4,2,3,3,3,3,2,2,2
1,1,54,2,4,3,1,5,54,1,1,2,2,1,1,1,1,1,1,1,1,4,4,2,2,3,4,2,2,3,4,3,2,3,3,3,3,1,1,3,3,2,4,3,3,2,3,1,2,3,2,3,1,2,4,2,1,3,3,2,2,3,1,1,2,2,1,2,2,1,1,3,2,3,2,1,7,5,2,2,2,2,2,3,2,2,3,4,4,4
1,1,54,1,4,1,1,5,70,1,1,2,1,3,1,3,1,1,1,1,7,4,3,3,4,3,4,3,4,3,4,2,3,2,3,3,3,2,4,4,3,4,5,5,4,4,3,2,3,2,2,3,3,3,4,3,3,2,3,2,3,3,3,1,3,3,3,3,3,3,1,4,4,4,3,1,7,4,2,3,3,4,2,4,3,3,4,1,2,4
1,1,46,3,5,1,1,5,46,1,1,2,3,4,1,2,3,1,1,2,3,1,4,2,4,1,4,4,4,2,4,3,3,4,3,3,3,2,3,3,3,4,3,4,4,2,2,1,3,3,1,1,3,1,2,3,3,3,3,1,1,3,1,1,3,1,1,3,3,3,1,1,2,1,2,1,7,3,2,2,2,3,2,4,2,1,4,4,3,4
1,1,54,4,3,3,1,5,54,1,1,2,2,3,1,1,1,1,1,2,1,3,4,4,3,3,4,3,3,2,4,3,2,3,3,3,3,2,3,3,3,4,3,3,3,2,3,2,2,2,1,2,2,2,2,3,3,3,2,2,3,3,1,1,1,2,1,2,2,3,1,2,3,2,2,1,7,4,3,2,3,4,4,2,2,3,4,2,2,1
1,1,54,4,3,3,1,5,54,1,1,2,1,1,1,1,1,1,1,1,3,2,3,3,3,3,4,2,3,3,3,4,3,3,1,2,3,1,1,2,4,4,3,5,4,2,4,2,2,2,1,3,2,2,3,2,2,3,1,1,1,2,3,1,3,2,3,1,3,1,1,3,4,3,3,2,8,1,1,2,2,2,2,3,3,4,4,4,4,4
1,1,54,4,4,4,1,5,46,1,1,1,1,2,1,1,1,1,1,1,3,4,3,2,3,2,4,3,4,3,3,2,2,4,3,3,3,1,1,2,4,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,3,3,2,2,1,8,3,1,2,3,3,2,2,1,2,4,3,3,2
1,1,54,4,3,2,1,6,58,1,2,2,1,3,3,3,1,1,1,3,1,1,2,2,4,4,4,4,4,5,3,4,4,5,4,4,4,3,3,3,3,3,4,4,4,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,4,1,1,7,6,1,1,3,1,1,1,2,1,4,4,4,2
1,1,34,3,5,4,1,6,18,1,1,2,1,2,1,2,1,1,1,1,1,3,3,2,2,1,3,3,3,4,4,3,3,4,3,3,3,3,3,2,3,3,3,3,4,3,3,2,2,2,3,2,3,2,3,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,3,3,3,3,2,1,12,5,1,2,2,1,1,1,3,2,3,2,2,2
1,1,54,3,3,3,1,6,54,1,1,2,3,4,2,1,2,1,1,1,3,4,3,3,3,2,2,3,3,3,4,4,3,5,5,5,5,4,4,4,4,4,3,4,5,3,3,3,3,3,3,3,3,4,3,3,2,4,4,4,4,4,3,2,3,4,3,3,4,4,4,4,4,4,4,1,1,6,3,2,3,3,3,3,4,3,4,2,2,4
1,1,34,3,3,2,1,6,34,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,4,3,4,3,4,3,3,4,4,4,4,5,3,3,3,4,3,3,2,4,3,2,2,2,2,3,2,2,3,3,3,3,4,4,4,3,3,3,2,2,2,3,3,3,4,3,3,3,3,2,2,1,2,8,2,2,3,2,2,3,3,2,3,2,3,3
1,1,14,1,4,4,1,6,14,1,1,2,4,1,4,3,1,3,1,4,5,1,4,4,3,3,4,2,4,4,4,3,3,2,4,4,4,3,4,3,4,4,3,5,4,4,4,3,3,4,2,3,3,4,4,2,3,4,4,4,4,4,4,3,2,2,4,4,4,4,2,4,4,4,4,1,5,4,3,4,4,4,3,4,4,2,3,3,3,2
1,1,46,1,3,3,1,6,46,1,1,2,4,4,4,1,1,1,1,1,3,3,3,3,2,2,4,2,3,1,3,3,2,4,2,5,3,3,3,4,4,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,1,1,3,1,2,1,1,3,3,3,3,1,5,5,3,2,3,3,2,3,3,3,2,4,3,2
1,1,14,1,4,3,1,6,14,1,1,2,3,1,2,4,2,2,1,2,9,2,2,2,3,2,4,4,4,3,2,3,3,3,4,3,2,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,3,2,1,1,2,5,1,2,2,2,1,2,2,2,3,4,4,3,3
1,1,42,1,5,4,1,6,42,1,1,2,1,4,1,1,1,1,1,1,9,2,4,3,4,3,4,3,4,1,3,3,2,5,4,4,2,2,4,4,4,4,3,5,4,3,4,2,2,1,1,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,3,2,3,1,3,3,3,3,3,7,1,3,4,3,3,2,2,2,2,4,4,4,4
1,1,34,2,3,3,1,6,34,2,1,2,3,1,1,1,1,1,1,1,5,4,4,3,3,2,2,1,3,2,4,3,3,3,3,3,4,3,2,5,5,5,3,5,4,3,4,2,1,2,2,4,2,4,3,3,3,4,2,1,2,4,1,2,3,4,2,2,4,2,4,3,3,3,3,1,7,5,2,2,2,2,3,4,1,4,2,1,1,4
1,1,18,3,5,4,1,6,58,1,1,2,4,2,1,3,1,4,1,3,1,2,4,1,3,2,3,2,4,5,5,3,4,2,3,4,4,2,3,3,4,3,5,4,4,2,4,2,3,2,2,2,2,3,2,2,4,3,2,2,2,3,4,2,2,3,4,2,2,3,2,2,4,4,4,2,7,5,2,4,3,3,1,2,3,1,2,1,2,3
1,1,54,3,3,2,1,6,54,1,1,1,3,2,4,1,1,1,1,4,1,1,3,3,3,3,4,3,3,3,3,4,4,3,4,4,4,3,3,4,4,3,3,4,5,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,1,7,7,3,3,3,3,3,3,3,3,3,2,2,2
1,1,38,3,2,2,1,6,38,1,1,2,1,1,1,3,2,1,1,1,3,4,1,3,1,1,2,2,4,4,3,4,4,3,5,5,3,1,2,3,4,4,4,3,5,4,3,1,2,2,2,2,1,2,3,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,7,4,2,3,3,4,3,2,2,3,4,3,2,3
1,1,42,1,5,3,1,6,42,1,1,2,1,1,1,1,1,1,2,1,9,4,2,1,3,1,4,2,4,2,3,2,3,2,2,2,2,3,3,3,3,3,3,4,3,3,3,1,3,3,3,3,2,3,4,3,1,4,2,1,1,3,3,1,3,1,3,2,1,2,1,4,3,3,3,1,7,4,3,3,3,3,2,4,4,3,2,2,3,4
1,1,54,4,4,3,1,6,46,1,1,1,1,2,1,1,1,1,1,1,1,3,4,4,4,3,3,4,4,2,3,3,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,3,2,1,7,5,2,2,3,3,3,2,3,3,4,2,3,1
1,1,54,4,5,3,1,6,54,1,1,2,4,2,3,3,1,1,2,2,1,2,2,1,3,2,4,4,4,3,3,3,3,4,3,3,3,2,3,3,4,3,3,3,4,2,3,3,2,4,3,3,2,4,4,3,3,3,3,4,4,3,2,1,3,4,3,2,3,3,4,3,3,3,3,1,7,5,2,2,2,3,2,1,2,3,2,3,3,3
