Feature,Importance
sat,0.1318597357893258
edu_help,0.1057638141827308
kind,0.10136861280630509
study_1,0.07096114380228667
same,0.04226139929412474
help_3,0.03937702291370943
edu_f,0.03593829278639751
sex,0.03131819228080363
can_10,0.028138281008543074
order,0.017056060976809097
edu_m,0.01699379835062882
d_group,0.014157005584584544
can_3,0.014081636027168182
can_9,0.011460675757542163
help_7,0.011164597749509349
value_1,0.01102068016197459
can_2,0.010513275526292587
can_16,0.01024273215944442
help_9,0.00988693576797326
can_6,0.009731064823603988
can_7,0.009621309756614953
gain_21,0.009583067688923731
work_m,0.00946347272692667
help_5,0.008844413723537415
help_1,0.008773541453997872
act_7,0.008706173341253976
help_8,0.008547376103121975
gain_14,0.008427139911489728
work_f,0.008283914222794437
can_5,0.008270168837527863
act_2,0.007200202025768261
dorm,0.007004291261759948
can_11,0.006994147601699634
gain_11,0.00694061385635571
work,0.006823664465438887
can_14,0.0068091546480067875
act_3,0.006628709421356232
help_6,0.006625624713160778
gain_26,0.006039071206082949
obj_4,0.005798128654948967
gain_23,0.0056323824706016575
gain_12,0.005120377554656057
act_5,0.005017209773501375
value_2,0.00490646930150987
gain_22,0.004899263083368394
gain_8,0.004820846536593111
act_1,0.004280305439772972
can_1,0.004265968055115552
gain_25,0.004042631265603661
value_3,0.0040258624751625845
can_8,0.0038465725006109346
gain_2,0.0038106680598494628
can_12,0.0036259624612329016
help_4,0.00361216344937659
gain_16,0.0036040558841702822
can_4,0.0032039899119255715
obj_2,0.0031072604903615
gain_24,0.0028801674472697905
gain_10,0.002859218392922884
gain_9,0.002751276652924752
gain_13,0.0027364235919283353
gain_20,0.0025942616117779326
exp,0.0024720683105347186
act_8,0.0024262347214473504
obj_5,0.0022287022315250382
gain_17,0.0021435196289142718
gain_1,0.002137141867231246
obj_3,0.0020355923018688443
gain_19,0.00199682947279505
obj_1,0.0019544938522941626
obj_6,0.0018827368073835074
gain_15,0.001868403344565364
gain_4,0.0018630904972948312
value_4,0.0018195383161100146
study_6,0.001744120351534165
can_13,0.0016497534090600936
gain_6,0.0014374828396538021
can_15,0.0014048375639373486
gain_5,0.0012240200608104298
gain_18,0.0010347653783837141
help_2,0.0009994099024306761
gain_3,0.0007361201242740978
act_6,0.0003272559593476934
obj_7,0.00011386054553902495
act_4,0.00010134364274722495
gain_7,7.619908955676532e-05
st_sta,0.0
study_3,0.0
